date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:17	327/327	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Apr%202018%2015:47:16%20GMT	https://eyecix.com/robots.txt		(from )
18:47:17	86355/86355	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202017%2014:39:21%20GMT	https://eyecix.com/html/sportsmagazine/	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/index.html	(from )
18:47:19	167407/167407	---M--	200	added ('OK')	text/css	date:Fri,%2005%20May%202017%2014:40:11%20GMT	https://eyecix.com/html/sportsmagazine/css/bootstrap.css	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/css/bootstrap.css	(from https://eyecix.com/html/sportsmagazine/)
18:47:19	37414/37414	---M--	200	added ('OK')	text/css	date:Fri,%2005%20May%202017%2014:40:10%20GMT	https://eyecix.com/html/sportsmagazine/css/font-awesome.css	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/css/font-awesome.css	(from https://eyecix.com/html/sportsmagazine/)
18:47:20	35807/35807	---M--	200	added ('OK')	text/css	date:Fri,%2005%20May%202017%2014:40:11%20GMT	https://eyecix.com/html/sportsmagazine/css/flaticon.css	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/css/flaticon.css	(from https://eyecix.com/html/sportsmagazine/)
18:47:21	4472/4472	---M--	200	added ('OK')	text/css	date:Fri,%2005%20May%202017%2014:40:13%20GMT	https://eyecix.com/html/sportsmagazine/css/slick-slider.css	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/css/slick-slider.css	(from https://eyecix.com/html/sportsmagazine/)
18:47:22	4903/4903	---M--	200	added ('OK')	text/css	date:Fri,%2005%20May%202017%2014:40:06%20GMT	https://eyecix.com/html/sportsmagazine/css/fancybox.css	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/css/fancybox.css	(from https://eyecix.com/html/sportsmagazine/)
18:47:24	211906/211906	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Mar%202018%2005:34:40%20GMT	https://eyecix.com/html/sportsmagazine/style.css	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/style.css	(from https://eyecix.com/html/sportsmagazine/)
18:47:24	3348/3348	---M--	200	added ('OK')	text/css	date:Fri,%2005%20May%202017%2014:40:06%20GMT	https://eyecix.com/html/sportsmagazine/css/color.css	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/css/color.css	(from https://eyecix.com/html/sportsmagazine/)
18:47:25	51391/51391	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Mar%202018%2005:37:21%20GMT	https://eyecix.com/html/sportsmagazine/css/responsive.css	C:/Users/modes/Desktop/sakiai_3x3/sakiai_3x3/eyecix.com/html/sportsmagazine/css/responsive.css	(from https://eyecix.com/html/sportsmagazine/)
